country,spi
USA,97.20623
France,95.31747
Germany,94.17161
Australia,93.132
Netherlands,92.70844
England,92.70323
Japan,92.29078
Canada,92.2255
Brazil,89.11921
Sweden,85.88081
Spain,83.58046
New Zealand,82.9779
Norway,82.91128
China,82.09853000000001
South Korea,80.75559
Italy,71.10678
Nigeria,70.89562
Cameroon,62.52616999999999
South Africa,61.50796
Jamaica,59.78145
Scotland,50.750009999999996
Thailand,50.433479999999996
Chile,48.96239
Argentina,37.08972
